purchase,age,gender,credit_score
0,47,F,309
1,18,F,230
1,25,M,92
0,38,M,486
1,38,M,236
1,80,M,99
0,28,F,326
0,48,M,240
1,22,M,208
1,32,M,105
1,,M,
1,29,M,244
0,50,M,81
0,31,F,440
1,33,F,429
0,62,F,239
0,44,M,247
1,36,F,443
0,57,M,529
1,36,F,221
1,24,F,190
0,53,,113
0,54,F,483
0,42,F,484
0,49,M,682
1,23,F,275
1,60,F,36
0,57,F,107
0,52,M,71
1,30,F,316
0,28,M,103
0,56,F,118
0,65,M,578
0,65,F,709
0,36,F,359
1,38,M,476
0,34,F,468
0,47,M,105
1,40,F,293
1,26,F,229
0,60,F,738
0,,F,
1,29,M,252
1,26,M,293
1,26,M,250
0,41,F,517
0,33,M,473
1,39,M,372
1,29,,35
0,44,F,
0,30,M,391
0,39,F,496
1,22,M,319
1,35,M,318
0,52,M,224
1,23,M,92
1,39,M,266
1,21,M,305
0,55,F,
0,42,F,138
0,45,M,392
1,40,M,399
0,50,F,479
0,35,F,454
1,22,M,231
1,27,M,301
0,19,M,167
0,33,M,464
0,37,F,504
1,23,M,75
1,26,M,123
0,31,M,307
1,35,M,124
0,51,F,38
1,21,F,143
1,21,F,239
0,43,F,308
1,18,M,173
1,,,
1,26,F,66
1,25,M,88
1,34,M,427
1,39,M,312
1,34,F,161
0,40,F,110
0,61,F,420
1,28,M,110
1,26,M,373
1,31,F,172
1,21,M,211
0,33,F,360
0,43,F,260
1,18,F,51
1,18,M,116
1,30,M,121
0,48,F,383
0,39,F,12
0,58,F,18
0,65,F,841
0,46,M,250
