transaction_id,product1,product2,product3,product4,product5,product6,product7,product8,product9,product10,product11,product12,product13,product14,product15,product16,product17,product18,product19,product20,product21,product22,product23,product24,product25,product26,product27,product28,product29,product30,product31,product32,product33,product34,product35,product36,product37,product38,product39,product40,product41,product42,product43,product44,product45
1,Premium Lager,Iberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sparkling,Premium Lager,Premium Cider,Own Label,Italy White,Italian White,Italian Red,French Red,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Small Sizes White,Small Sizes Red,Sherry Spanish,No/Low Alc Cider,Cooking Wine,Cocktails/Liqueurs,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,White Uk,Sherry Spanish,Port,Italian White,Italian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Premium Lager,Over-Ice Cider,French White South,French Rose,Cocktails/Liqueurs,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Kosher Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Own Label,Italy White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Brandy/Cognac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Small Sizes White,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,White Uk,Spirits Mixers,Sparkling,German,Australian Red,American Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,World Beer,Sparkling,Premium Cider,Port,Iberia,Beer/Lager Gifts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Gin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sparkling,South America White,South African White,Premium Lager,Over-Ice Cider,New Zealand White,Italian Red,Iberia White,Iberia,French Red 2,Australian White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Standard Lager,South Africa Red,New Zealand White,Italy White,Italian White,Italian Red,French Red South,Everyday Cider,Australian Red,Australia White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Iberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Vermouths/Aperitifs,Premium Cider,French Red 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sherry Spanish,Red Wine Bxes & 25Cl,Gin,Cocktails/Liqueurs,Australian White,Australian Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,South America,Rum,French White 2,Champagne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Vodka,Basics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Stout,Small Sizes White,Premium Lager,New Zealand White,Lo/No Alcho Red Cgb,Italian Red,French Red,Bottled Ale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Spirits Mixers,Small Sizes White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
